trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
136	1	1	0	0	-1.75	0	210	80	24	1
137	1	1	0	0	-1.75	0	330	80	4	1
138	1	1	0	0	-1.75	0	210	80	24	1
139	1	1	0	0	-1.75	0	90	80	4	1
140	1	1	0	0	-1.75	0	330	80	24	1
141	1	1	0	0	-1.75	0	330	80	24	1
142	1	1	0	0	-1.75	0	210	80	24	1
143	1	1	0	0	-1.75	0	90	80	4	1
144	1	1	0	0	-1.75	0	90	80	4	1
145	1	1	0	0	-1.75	0	330	80	4	1
146	1	1	0	0	-1.75	0	210	80	24	1
147	1	1	0	0	-1.75	0	210	80	24	1
148	1	1	0	0	-1.75	0	330	80	24	1
149	1	1	0	0	-1.75	0	90	80	4	1
150	1	1	0	0	-1.75	0	210	80	24	1
151	1	1	0	0	-1.75	0	330	80	4	1
152	1	1	0	0	-1.75	0	90	80	4	1
153	1	1	0	0	-1.75	0	330	80	24	1
154	1	1	0	0	-1.75	0	90	80	4	1
155	1	1	0	0	-1.75	0	210	80	24	1
156	1	1	0	0	-1.75	0	210	80	24	1
157	1	1	0	0	-1.75	0	90	80	4	1
158	1	1	0	0	-1.75	0	330	80	4	1
159	1	1	0	0	-1.75	0	90	80	4	1
160	1	1	0	0	-1.75	0	330	80	24	1
161	1	1	0	0	-1.75	0	210	80	24	1
162	1	1	0	0	-1.75	0	210	80	24	1
163	1	1	0	0	-1.75	0	330	80	4	1
164	1	1	0	0	-1.75	0	90	80	4	1
165	1	1	0	0	-1.75	0	330	80	4	1
166	1	1	0	0	-1.75	0	90	80	4	1
167	1	1	0	0	-1.75	0	210	80	24	1
168	1	1	0	0	-1.75	0	330	80	24	1
169	1	1	0	0	-1.75	0	210	80	24	1
170	1	1	0	0	-1.75	0	90	80	4	1
171	1	1	0	0	-1.75	0	90	80	4	1
172	1	1	0	0	-1.75	0	210	80	24	1
173	1	1	0	0	-1.75	0	330	80	24	1
174	1	1	0	0	-1.75	0	90	80	4	1
175	1	1	0	0	-1.75	0	330	80	4	1
176	1	1	0	0	-1.75	0	210	80	24	1
177	1	1	0	0	-1.75	0	90	80	4	1
178	1	1	0	0	-1.75	0	210	80	24	1
179	1	1	0	0	-1.75	0	330	80	24	1
180	1	1	0	0	-1.75	0	330	80	4	1
181	1	1	0	0	-1.75	0	210	80	24	1
182	1	1	0	0	-1.75	0	90	80	4	1
183	1	1	0	0	-1.75	0	210	80	24	1
184	1	1	0	0	-1.75	0	90	80	4	1
185	1	1	0	0	-1.75	0	330	80	24	1
186	1	1	0	0	-1.75	0	330	80	4	1
187	1	1	0	0	-1.75	0	210	80	24	1
188	1	1	0	0	-1.75	0	90	80	4	1
189	1	1	0	0	-1.75	0	330	80	4	1
190	1	1	0	0	-1.75	0	90	80	4	1
191	1	1	0	0	-1.75	0	210	80	24	1
192	1	1	0	0	-1.75	0	210	80	24	1
193	1	1	0	0	-1.75	0	330	80	24	1
194	1	1	0	0	-1.75	0	90	80	4	1
195	1	1	0	0	-1.75	0	330	80	4	1
196	1	1	0	0	-1.75	0	210	80	24	1
197	1	1	0	0	-1.75	0	90	80	4	1
198	1	1	0	0	-1.75	0	330	80	24	1
199	1	1	0	0	-1.75	0	210	80	24	1
200	1	1	0	0	-1.75	0	90	80	4	1
201	1	1	0	0	-1.75	0	210	80	24	1
202	1	1	0	0	-1.75	0	330	80	24	1
203	1	1	0	0	-1.75	0	90	80	4	1
204	1	1	0	0	-1.75	0	330	80	4	1
205	1	1	0	0	-1.75	0	90	80	4	1
206	1	1	0	0	-1.75	0	210	80	24	1
207	1	1	0	0	-1.75	0	210	80	24	1
208	1	1	0	0	-1.75	0	90	80	4	1
209	1	1	0	0	-1.75	0	330	80	24	1
210	1	1	0	0	-1.75	0	210	80	24	1
211	1	1	0	0	-1.75	0	330	80	4	1
212	1	1	0	0	-1.75	0	90	80	4	1
213	1	1	0	0	-1.75	0	90	80	4	1
214	1	1	0	0	-1.75	0	210	80	24	1
215	1	1	0	0	-1.75	0	330	80	24	1
216	1	1	0	0	-1.75	0	210	80	24	1
217	1	1	0	0	-1.75	0	330	80	4	1
218	1	1	0	0	-1.75	0	90	80	4	1
