trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
140	0	0	0	0	0	0	320	80	24	1
141	0	0	0	0	0	0	80	80	4	1
142	1	1	0	0	-1.75	0	80	80	4	1
143	0	0	0	0	0	0	80	80	4	1
144	0	0	0	0	0	0	200	80	24	1
145	1	1	0	0	1.75	0	200	80	24	1
146	0	0	0	0	0	0	200	80	24	1
147	0	0	0	0	0	0	320	80	24	1
148	1	1	0	0	1.75	0	320	80	24	1
149	0	0	0	0	0	0	320	80	24	1
150	0	0	0	0	0	0	200	80	24	1
151	1	1	0	0	-1.75	0	200	80	24	1
152	0	0	0	0	0	0	200	80	24	1
153	0	0	0	0	0	0	80	80	4	1
154	1	1	0	0	1.75	0	80	80	4	1
155	0	0	0	0	0	0	80	80	4	1
156	0	0	0	0	0	0	320	80	4	1
157	1	1	0	0	-1.75	0	320	80	4	1
158	0	0	0	0	0	0	320	80	4	1
159	0	0	0	0	0	0	200	80	24	1
160	1	1	0	0	-1.75	0	200	80	24	1
161	0	0	0	0	0	0	200	80	24	1
162	0	0	0	0	0	0	80	80	4	1
163	1	1	0	0	1.75	0	80	80	4	1
164	0	0	0	0	0	0	80	80	4	1
165	0	0	0	0	0	0	320	80	4	1
166	1	1	0	0	-1.75	0	320	80	4	1
167	0	0	0	0	0	0	320	80	4	1
168	0	0	0	0	0	0	200	80	24	1
169	1	1	0	0	1.75	0	200	80	24	1
170	0	0	0	0	0	0	200	80	24	1
171	0	0	0	0	0	0	80	80	4	1
172	1	1	0	0	1.75	0	80	80	4	1
173	0	0	0	0	0	0	80	80	4	1
174	0	0	0	0	0	0	200	80	24	1
175	1	1	0	0	-1.75	0	200	80	24	1
176	0	0	0	0	0	0	200	80	24	1
177	0	0	0	0	0	0	80	80	4	1
178	1	1	0	0	1.75	0	80	80	4	1
179	0	0	0	0	0	0	80	80	4	1
180	0	0	0	0	0	0	320	80	4	1
181	1	1	0	0	1.75	0	320	80	4	1
182	0	0	0	0	0	0	320	80	4	1
183	0	0	0	0	0	0	200	80	24	1
184	1	1	0	0	-1.75	0	200	80	24	1
185	0	0	0	0	0	0	200	80	24	1
186	0	0	0	0	0	0	80	80	4	1
187	1	1	0	0	-1.75	0	80	80	4	1
188	0	0	0	0	0	0	80	80	4	1
189	0	0	0	0	0	0	320	80	24	1
190	1	1	0	0	1.75	0	320	80	24	1
191	0	0	0	0	0	0	320	80	24	1
192	0	0	0	0	0	0	80	80	4	1
193	1	1	0	0	-1.75	0	80	80	4	1
194	0	0	0	0	0	0	80	80	4	1
195	0	0	0	0	0	0	320	80	24	1
196	1	1	0	0	-1.75	0	320	80	24	1
197	0	0	0	0	0	0	320	80	24	1
198	0	0	0	0	0	0	200	80	24	1
199	1	1	0	0	1.75	0	200	80	24	1
200	0	0	0	0	0	0	200	80	24	1
201	0	0	0	0	0	0	320	80	4	1
202	1	1	0	0	-1.75	0	320	80	4	1
203	0	0	0	0	0	0	320	80	4	1
204	0	0	0	0	0	0	200	80	24	1
205	1	1	0	0	1.75	0	200	80	24	1
206	0	0	0	0	0	0	200	80	24	1
207	0	0	0	0	0	0	80	80	4	1
208	1	1	0	0	1.75	0	80	80	4	1
209	0	0	0	0	0	0	80	80	4	1
210	0	0	0	0	0	0	200	80	24	1
211	1	1	0	0	-1.75	0	200	80	24	1
212	0	0	0	0	0	0	200	80	24	1
213	0	0	0	0	0	0	320	80	4	1
214	1	1	0	0	1.75	0	320	80	4	1
